Scenario,ID,mf_ids,sdef/name,sdef/description,StreamContainer_module,StreamContainer_method
LCA_DEMO_PRE,StreamDef1,MF_RSN,SeabirdSim_raw,,prototype.sci_data.stream_defs,SBE37_RAW_stream_definition
LCA_DEMO_PRE,StreamDef2,MF_RSN,SeabirdSim_parsed,,prototype.sci_data.stream_defs,SBE37_CDM_stream_definition
LCA_DEMO_PRE,StreamDef3,MF_RSN,DPD1_out_conductivity_L0,,prototype.sci_data.stream_defs,L0_conductivity_stream_definition
LCA_DEMO_PRE,StreamDef4,MF_RSN,DPD1_out_temp_L0,,prototype.sci_data.stream_defs,L0_temperature_stream_definition
LCA_DEMO_PRE,StreamDef5,MF_RSN,DPD1_out_pressure_L0,,prototype.sci_data.stream_defs,L0_pressure_stream_definition
LCA_DEMO_PRE,StreamDef6,MF_RSN,DPD2_out_conductivity_L1,,prototype.sci_data.stream_defs,L1_conductivity_stream_definition
LCA_DEMO_PRE,StreamDef7,MF_RSN,DPD3_out_temp_L1,,prototype.sci_data.stream_defs,L1_temperature_stream_definition
LCA_DEMO_PRE,StreamDef8,MF_RSN,DPD4_out_pressure_L1,,prototype.sci_data.stream_defs,L1_pressure_stream_definition
LCA_DEMO_PRE,StreamDef9,MF_RSN,DPD5_out_practical_salinity_L2,,prototype.sci_data.stream_defs,L2_practical_salinity_stream_definition
LCA_DEMO_PRE,StreamDef10,MF_RSN,DPD6_out_density_L2,,prototype.sci_data.stream_defs,L2_density_stream_definition
LCA_DEMO_PRE,StreamDef11,MF_3,SeabirdSim_raw demo,,prototype.sci_data.stream_defs,SBE37_RAW_stream_definition
LCA_DEMO_PRE,StreamDef12,MF_3,SeabirdSim_parsed demo,,prototype.sci_data.stream_defs,SBE37_CDM_stream_definition
LCA_DEMO_PRE,StreamDef13,MF_3,DPD1_out_conductivity_L0 demo,,prototype.sci_data.stream_defs,L0_conductivity_stream_definition
LCA_DEMO_PRE,StreamDef14,MF_3,DPD1_out_temp_L0 demo,,prototype.sci_data.stream_defs,L0_temperature_stream_definition
LCA_DEMO_PRE,StreamDef15,MF_3,DPD1_out_pressure_L0 demo,,prototype.sci_data.stream_defs,L0_pressure_stream_definition
LCA_DEMO_PRE,StreamDef16,MF_3,DPD2_out_conductivity_L1 demo,,prototype.sci_data.stream_defs,L1_conductivity_stream_definition
LCA_DEMO_PRE,StreamDef17,MF_3,DPD3_out_temp_L1 demo,,prototype.sci_data.stream_defs,L1_temperature_stream_definition
LCA_DEMO_PRE,StreamDef18,MF_3,DPD4_out_pressure_L1 demo,,prototype.sci_data.stream_defs,L1_pressure_stream_definition
LCA_DEMO_PRE,StreamDef19,MF_3,DPD5_out_practical_salinity_L2 demo,,prototype.sci_data.stream_defs,L2_practical_salinity_stream_definition
LCA_DEMO_PRE,StreamDef20,MF_3,DPD6_out_density_L2 demo,,prototype.sci_data.stream_defs,L2_density_stream_definition
VIZ_DEMO_PRE,StreamDef21,,viz_sine_wave_sample,Sinusoid Wave Stream,prototype.sci_data.stream_defs,Sinusoid_wave_stream_definition
VIZ_DEMO_PRE,StreamDef22,,viz_netcdf_sample,NetCDF Sample file,prototype.sci_data.stream_defs,Netcdf_sample_stream_definition
