Textbox8,tbToday
Port Attributes Report,Report Generated: 10/30/2012

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Port,Attribute,AttributeValue
CE01ISSM-MF004-01,depth_port_max,23
CE01ISSM-MF004-01,depth_port_min,23
CE01ISSM-MF004-01,depth_subsite,25
CE01ISSM-MF004-01,First Deployment Date,2013-10
CE01ISSM-MF004-01,latitude,44.65
CE01ISSM-MF004-01,longitude,124.1
CE01ISSM-MF004-01,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF004-01,Relative Depth,2 above the bottom
CE01ISSM-MF004-02,depth_port_max,23
CE01ISSM-MF004-02,depth_port_min,23
CE01ISSM-MF004-02,depth_subsite,25
CE01ISSM-MF004-02,First Deployment Date,2013-10
CE01ISSM-MF004-02,latitude,44.65
CE01ISSM-MF004-02,longitude,124.1
CE01ISSM-MF004-02,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF004-02,Relative Depth,2 above the bottom
CE01ISSM-MF004-03,depth_port_max,23
CE01ISSM-MF004-03,depth_port_min,23
CE01ISSM-MF004-03,depth_subsite,25
CE01ISSM-MF004-03,First Deployment Date,2013-10
CE01ISSM-MF004-03,latitude,44.65
CE01ISSM-MF004-03,longitude,124.1
CE01ISSM-MF004-03,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF004-03,Relative Depth,2 above the bottom
CE01ISSM-MF004-04,depth_port_max,23
CE01ISSM-MF004-04,depth_port_min,23
CE01ISSM-MF004-04,depth_subsite,25
CE01ISSM-MF004-04,First Deployment Date,2013-10
CE01ISSM-MF004-04,latitude,44.65
CE01ISSM-MF004-04,longitude,124.1
CE01ISSM-MF004-04,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF004-04,Relative Depth,2 above the bottom
CE01ISSM-MF004-05,depth_port_max,23
CE01ISSM-MF004-05,depth_port_min,0
CE01ISSM-MF004-05,depth_subsite,25
CE01ISSM-MF004-05,First Deployment Date,2013-10
CE01ISSM-MF004-05,latitude,44.65
CE01ISSM-MF004-05,longitude,124.1
CE01ISSM-MF004-05,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF004-05,Relative Depth,Bottom mount measures up to surface
CE01ISSM-MF005-01,depth_port_max,23
CE01ISSM-MF005-01,depth_port_min,23
CE01ISSM-MF005-01,depth_subsite,25
CE01ISSM-MF005-01,First Deployment Date,2013-10
CE01ISSM-MF005-01,latitude,44.65
CE01ISSM-MF005-01,longitude,124.1
CE01ISSM-MF005-01,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF005-01,Relative Depth,2 above the bottom
CE01ISSM-MF005-02,depth_port_max,23
CE01ISSM-MF005-02,depth_port_min,0
CE01ISSM-MF005-02,depth_subsite,25
CE01ISSM-MF005-02,First Deployment Date,2013-10
CE01ISSM-MF005-02,latitude,44.65
CE01ISSM-MF005-02,longitude,124.1
CE01ISSM-MF005-02,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF005-02,Relative Depth,Mounted 2 above bottom measures up to surface
CE01ISSM-MF005-03,depth_port_max,23
CE01ISSM-MF005-03,depth_port_min,23
