Textbox8,tbToday
Instrument Classes By Location With Data Product Info,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LNode_PublicID,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,NodeTypeName,LNode_NodeSequence,SClass_Description,SClass_PublicID,Data_Product,DPS_DCN
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,Velocity profile Short Range,ADCPT,ECHOINT,"DCN 1341-00750 (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)"
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,Velocity profile Short Range,ADCPT,VELPROF,DCN 1341-00750
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,Velocity profile Short Range,ADCPT,WAVSTAT,DCN 1341-00450
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,pCO2 water,PCO2W,CO2ABS1,DCN 1341-00487
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,pCO2 water,PCO2W,CO2ABS2,DCN 1341-00488
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,pCO2 water,PCO2W,CO2THRM,DCN 1341-00489
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,pCO2 water,PCO2W,PCO2WAT,DCN 1341-00490
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,pH stable,PHSEN,ABSTHRM,DCN 1341-00507
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,pH stable,PHSEN,PH434SI,DCN 1341-00508
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,pH stable,PHSEN,PH578SI,DCN 1341-00509
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,pH stable,PHSEN,PHWATER,DCN 1341-00510
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,Oxygen dissolved stable,DOSTA,DOCONCS,DCN 1341-00520
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,Oxygen dissolved stable,DOSTA,DOXYGEN,DCN 1341-00520
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,Attenuation absorption optical,OPTAA,OPTABSN,DCN 1341-00700
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,Attenuation absorption optical,OPTAA,OPTATTN,DCN 1341-00690
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,Attenuation absorption optical,OPTAA,OPTCREF,"DCN 1341-00690, DCN 1341-00700"
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,Attenuation absorption optical,OPTAA,OPTCSIG,"DCN 1341-00690, DCN 1341-00700"
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,Attenuation absorption optical,OPTAA,OPTTEMP,"DCN 1341-00690, DCN 1341-00700"
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,Attenuation absorption optical,OPTAA,OPTAREF,1341-00700
CE01ISSM-MF004,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,Attenuation absorption optical,OPTAA,OPTASIG,1341-00700
CE01ISSM-MF005,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),005,Camera digital still strobe,CAMDS,CAMSTIL,DCN 1341-00830
