Textbox8,tbToday
Subsite Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Subsite,Subsite_Name,Attribute,AttributeValue
CE01ISSM,Endurance OR Inshore Surface Mooring,depth_port_max,
CE01ISSM,Endurance OR Inshore Surface Mooring,depth_port_min,
CE01ISSM,Endurance OR Inshore Surface Mooring,depth_subsite,24.3
CE01ISSM,Endurance OR Inshore Surface Mooring,First Deployment Date,2014-04
CE01ISSM,Endurance OR Inshore Surface Mooring,latitude,44.66
CE01ISSM,Endurance OR Inshore Surface Mooring,longitude,124.1
CE01ISSM,Endurance OR Inshore Surface Mooring,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM,Endurance OR Inshore Surface Mooring,Relative Depth,
CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,depth_port_max,
CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,depth_port_min,
CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,depth_subsite,24.3
CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,First Deployment Date,2014-10
CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,latitude,44.66
CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,longitude,124.1
CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,Relative Depth,
CE02SHBP,Endurance OR Shelf Benthic Pkg,depth_port_max,
CE02SHBP,Endurance OR Shelf Benthic Pkg,depth_port_min,
CE02SHBP,Endurance OR Shelf Benthic Pkg,depth_subsite,80
CE02SHBP,Endurance OR Shelf Benthic Pkg,First Deployment Date,2014-07
CE02SHBP,Endurance OR Shelf Benthic Pkg,latitude,44.64
CE02SHBP,Endurance OR Shelf Benthic Pkg,longitude,124.31
CE02SHBP,Endurance OR Shelf Benthic Pkg,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP,Endurance OR Shelf Benthic Pkg,Relative Depth,
CE02SHSM,Endurance OR Shelf Surface Mooring,depth_port_max,
CE02SHSM,Endurance OR Shelf Surface Mooring,depth_port_min,
CE02SHSM,Endurance OR Shelf Surface Mooring,depth_subsite,80
CE02SHSM,Endurance OR Shelf Surface Mooring,First Deployment Date,2014-10
CE02SHSM,Endurance OR Shelf Surface Mooring,latitude,44.64
CE02SHSM,Endurance OR Shelf Surface Mooring,longitude,124.31
CE02SHSM,Endurance OR Shelf Surface Mooring,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM,Endurance OR Shelf Surface Mooring,Relative Depth,
CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),depth_port_max,
CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),depth_port_min,
CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),depth_subsite,80
CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),First Deployment Date,2014-07
CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),latitude,44.64
CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),longitude,124.31
CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),Relative Depth,
