Textbox8,tbToday
Data QC Lookup Tables (With DP Levels),Report Generated: 11/1/2012

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LArray_PublicID,SClass_PublicID,ReferenceDesignator,Data_Product_With_Level
CE,DOSTA,CE01ISSM-MF004-01-DOSTAD999,DOCONCS (L0)
CE,DOSTA,CE01ISSM-MF004-01-DOSTAD999,DOCONCS (L2)
CE,PHSEN,CE01ISSM-MF004-02-PHSEND999,ABSTHRM (L0)
CE,PHSEN,CE01ISSM-MF004-02-PHSEND999,PH434SI (L0)
CE,PHSEN,CE01ISSM-MF004-02-PHSEND999,PH578SI (L0)
CE,PHSEN,CE01ISSM-MF004-02-PHSEND999,PHWATER (L1)
CE,OPTAA,CE01ISSM-MF004-03-OPTAAD999,OPTABSN (L2)
CE,OPTAA,CE01ISSM-MF004-03-OPTAAD999,OPTATTN (L2)
CE,OPTAA,CE01ISSM-MF004-03-OPTAAD999,OPTCREF (L0)
CE,OPTAA,CE01ISSM-MF004-03-OPTAAD999,OPTCSIG (L0)
CE,OPTAA,CE01ISSM-MF004-03-OPTAAD999,OPTTEMP (L0)
CE,PCO2W,CE01ISSM-MF004-04-PCO2WB999,CO2ABS1 (L0)
CE,PCO2W,CE01ISSM-MF004-04-PCO2WB999,CO2ABS2 (L0)
CE,PCO2W,CE01ISSM-MF004-04-PCO2WB999,CO2THRM (L0)
CE,PCO2W,CE01ISSM-MF004-04-PCO2WB999,PCO2WAT (L1)
CE,ADCPT,CE01ISSM-MF004-05-ADCPTM999,ECHOINT (L0)
CE,ADCPT,CE01ISSM-MF004-05-ADCPTM999,ECHOINT (L1)
CE,ADCPT,CE01ISSM-MF004-05-ADCPTM999,VELPROF (L0)
CE,ADCPT,CE01ISSM-MF004-05-ADCPTM999,VELPROF (L1)
CE,CTDBP,CE01ISSM-MF005-01-CTDBPC999,CONDWAT (L0)
CE,CTDBP,CE01ISSM-MF005-01-CTDBPC999,CONDWAT (L1)
CE,CTDBP,CE01ISSM-MF005-01-CTDBPC999,DENSITY (L2)
CE,CTDBP,CE01ISSM-MF005-01-CTDBPC999,PRACSAL (L2)
CE,CTDBP,CE01ISSM-MF005-01-CTDBPC999,PRESWAT (L0)
CE,CTDBP,CE01ISSM-MF005-01-CTDBPC999,PRESWAT (L1)
CE,CTDBP,CE01ISSM-MF005-01-CTDBPC999,TEMPWAT (L0)
CE,CTDBP,CE01ISSM-MF005-01-CTDBPC999,TEMPWAT (L1)
CE,ZPLSC,CE01ISSM-MF005-02-ZPLSCC999,SONBSCA (L0)
CE,ZPLSC,CE01ISSM-MF005-02-ZPLSCC999,SONBSCA (L1)
CE,VEL3D,CE01ISSM-MF005-03-VEL3DD999,VELPTTU (L0)
CE,VEL3D,CE01ISSM-MF005-03-VEL3DD999,VELPTTU (L1)
CE,PRESF,CE01ISSM-MF005-04-PRESFA999,SFLPRES (L1)
CE,CAMDS,CE01ISSM-MF005-05-CAMDSA999,CAMSTIL (L1)
CE,DOSTA,CE01ISSM-RI002-01-DOSTAD999,DOCONCS (L0)
CE,DOSTA,CE01ISSM-RI002-01-DOSTAD999,DOCONCS (L2)
CE,VELPT,CE01ISSM-RI002-02-VELPTA999,VELPTMN (L1)
CE,PHSEN,CE01ISSM-RI002-03-PHSEND999,ABSTHRM (L0)
CE,PHSEN,CE01ISSM-RI002-03-PHSEND999,PH434SI (L0)
CE,PHSEN,CE01ISSM-RI002-03-PHSEND999,PH578SI (L0)
CE,PHSEN,CE01ISSM-RI002-03-PHSEND999,PHWATER (L1)
CE,PCO2W,CE01ISSM-RI002-05-PCO2WB999,CO2ABS1 (L0)
CE,PCO2W,CE01ISSM-RI002-05-PCO2WB999,CO2ABS2 (L0)
CE,PCO2W,CE01ISSM-RI002-05-PCO2WB999,CO2THRM (L0)
CE,PCO2W,CE01ISSM-RI002-05-PCO2WB999,PCO2WAT (L1)
CE,CTDBP,CE01ISSM-RI003-01-CTDBPC999,CONDWAT (L0)
CE,CTDBP,CE01ISSM-RI003-01-CTDBPC999,CONDWAT (L1)
CE,CTDBP,CE01ISSM-RI003-01-CTDBPC999,DENSITY (L2)
CE,CTDBP,CE01ISSM-RI003-01-CTDBPC999,PRACSAL (L2)
CE,CTDBP,CE01ISSM-RI003-01-CTDBPC999,PRESWAT (L0)
CE,CTDBP,CE01ISSM-RI003-01-CTDBPC999,PRESWAT (L1)
CE,CTDBP,CE01ISSM-RI003-01-CTDBPC999,TEMPWAT (L0)
CE,CTDBP,CE01ISSM-RI003-01-CTDBPC999,TEMPWAT (L1)
CE,FLORT,CE01ISSM-RI003-02-FLORTD999,CDOMFLO (L0)
CE,FLORT,CE01ISSM-RI003-02-FLORTD999,CDOMFLO (L1)
CE,FLORT,CE01ISSM-RI003-02-FLORTD999,CHLAFLO (L0)
CE,FLORT,CE01ISSM-RI003-02-FLORTD999,CHLAFLO (L1)
CE,FLORT,CE01ISSM-RI003-02-FLORTD999,FLUBSCT (L0)
CE,FLORT,CE01ISSM-RI003-02-FLORTD999,FLUBSCT (L1)
CE,OPTAA,CE01ISSM-RI003-03-OPTAAD999,OPTABSN (L2)
